iter	Passed	Remaining
976	6295	148
977	6302	141
978	6308	135
979	6314	128
980	6320	122
981	6328	115
982	6335	109
983	6340	103
984	6347	96
985	6354	90
986	6360	83
987	6368	77
988	6374	70
989	6379	64
990	6385	57
991	6392	51
992	6398	45
993	6404	38
994	6411	32
995	6418	25
996	6424	19
997	6431	12
998	6436	6
999	6443	0
